Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Kales,Bag,50,848.0,4/1/2013 0:00
Horticulture,Lettuce,Bag,51,4090.0,5/1/2013 0:00
Horticulture,Kales,Bag,50,1277.0,5/1/2013 0:00
Horticulture,Avocado,Bag,90,2705.0,5/1/2013 0:00
Horticulture,Pawpaw,Lg Box,54,1777.0,5/1/2013 0:00
Horticulture,Pineapples,Dozen,13,754.0,5/1/2013 0:00
Horticulture,Limes,net,13,683.0,5/1/2013 0:00
Horticulture,Mangoes Ngowe,Sm Basket,25,1079.0,5/1/2013 0:00
Horticulture,Mangoes Local,Bag,126,2420.0,5/1/2013 0:00
Horticulture,Lemons,Bag,95,2112.0,5/1/2013 0:00
Horticulture,Oranges,Bag,93,2893.0,5/1/2013 0:00
Horticulture,Passion Fruits,Bag,57,3923.0,5/1/2013 0:00
Horticulture,Cauliflower,crate,39,3553.0,5/1/2013 0:00
Horticulture,Brinjals,Bag,44,1700.0,5/1/2013 0:00
Horticulture,Capsicums,Bag,50,2663.0,5/1/2013 0:00
Horticulture,Cucumber,Bag,50,2268.0,5/1/2013 0:00
Horticulture,Chillies,Bag,38,3105.0,5/1/2013 0:00
Horticulture,Spring Onions,Bag,142,2571.0,5/1/2013 0:00
Horticulture,Onions Dry,net,13,967.0,5/1/2013 0:00
Horticulture,Tomatoes,Lg Box,64,5596.0,5/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,3318.0,5/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,625.0,5/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,618.0,5/1/2013 0:00
Horticulture,Cabbages,Ext Bag,126,2058.0,5/1/2013 0:00
Horticulture,Cooking Bananas,Med Bunch,22,541.0,6/1/2013 0:00
Horticulture,Ripe Bananas,Med Bunch,14,583.0,6/1/2013 0:00
Horticulture,Carrots,Ext Bag,138,3647.0,6/1/2013 0:00
