Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Cucumber,Bag,50,1756.0,11/1/2012 0:00,238
Horticulture,Capsicums,Bag,50,2088.0,11/1/2012 0:00,239
Horticulture,Brinjals,Bag,44,1325.0,11/1/2012 0:00,240
Horticulture,Cauliflower,crate,39,1364.0,11/1/2012 0:00,241
Horticulture,Lettuce,Bag,51,2182.0,11/1/2012 0:00,242
Horticulture,Passion Fruits,Bag,57,3505.0,11/1/2012 0:00,243
Horticulture,Oranges,Bag,93,2678.0,11/1/2012 0:00,244
Horticulture,Lemons,Bag,95,1546.0,11/1/2012 0:00,245
Horticulture,Mangoes Local,Bag,126,1807.0,11/1/2012 0:00,246
Horticulture,Mangoes Ngowe,Sm Basket,25,875.0,11/1/2012 0:00,247
Horticulture,Limes,net,13,847.0,11/1/2012 0:00,248
Horticulture,Pineapples,Dozen,13,778.0,11/1/2012 0:00,249
Horticulture,Pawpaw,Lg Box,54,1298.0,11/1/2012 0:00,250
Horticulture,Avocado,Bag,90,1847.0,11/1/2012 0:00,251
Horticulture,Kales,Bag,50,670.0,11/1/2012 0:00,252
Horticulture,Cabbages,Ext Bag,126,1504.0,12/1/2012 0:00,253
Horticulture,Cooking Bananas,Med Bunch,22,547.0,12/1/2012 0:00,254
Horticulture,Ripe Bananas,Med Bunch,14,577.0,12/1/2012 0:00,255
Horticulture,Carrots,Ext Bag,138,2507.0,12/1/2012 0:00,256
Horticulture,Tomatoes,Lg Box,64,3348.0,12/1/2012 0:00,257
Horticulture,Onions Dry,net,13,900.0,12/1/2012 0:00,258
Horticulture,Spring Onions,Bag,142,2390.0,12/1/2012 0:00,259
Horticulture,Chillies,Bag,38,3300.0,12/1/2012 0:00,260
Horticulture,Cucumber,Bag,50,1861.0,12/1/2012 0:00,261
Horticulture,Capsicums,Bag,50,2222.0,12/1/2012 0:00,262
Horticulture,Brinjals,Bag,44,1427.0,12/1/2012 0:00,263
Horticulture,Cauliflower,crate,39,1993.0,12/1/2012 0:00,264
Horticulture,Lettuce,Bag,51,3932.0,12/1/2012 0:00,265
Horticulture,Passion Fruits,Bag,57,3548.0,12/1/2012 0:00,266
Horticulture,Oranges,Bag,93,2877.0,12/1/2012 0:00,267
Horticulture,Lemons,Bag,95,1911.0,12/1/2012 0:00,268
Horticulture,Mangoes Local,Bag,126,2124.0,12/1/2012 0:00,269
Horticulture,Mangoes Ngowe,Sm Basket,25,912.0,12/1/2012 0:00,270
Horticulture,Limes,net,13,728.0,12/1/2012 0:00,271
Horticulture,Pineapples,Dozen,13,727.0,12/1/2012 0:00,272
Horticulture,Pawpaw,Lg Box,54,1611.0,12/1/2012 0:00,273
Horticulture,Avocado,Bag,90,2255.0,12/1/2012 0:00,274
Horticulture,Kales,Bag,50,690.0,12/1/2012 0:00,275
Horticulture,Cabbages,Ext Bag,126,1466.0,1/1/2013 0:00,276
Horticulture,Kales,Bag,50,685.0,1/1/2013 0:00,277
Horticulture,Avocado,Bag,90,1981.0,1/1/2013 0:00,278
Horticulture,Pawpaw,Lg Box,54,1479.0,1/1/2013 0:00,279
Horticulture,Pineapples,Dozen,13,897.0,1/1/2013 0:00,280
Horticulture,Limes,net,13,582.0,1/1/2013 0:00,281
Horticulture,Mangoes Ngowe,Sm Basket,25,827.0,1/1/2013 0:00,282
Horticulture,Mangoes Local,Bag,126,1833.0,1/1/2013 0:00,283
Horticulture,Lemons,Bag,95,1875.0,1/1/2013 0:00,284
Horticulture,Oranges,Bag,93,2938.0,1/1/2013 0:00,285
Horticulture,Passion Fruits,Bag,57,3180.0,1/1/2013 0:00,286
Horticulture,Lettuce,Bag,51,4047.0,1/1/2013 0:00,287
Horticulture,Cauliflower,crate,39,2098.0,1/1/2013 0:00,288
Horticulture,Brinjals,Bag,44,1547.0,1/1/2013 0:00,289
Horticulture,Capsicums,Bag,50,2099.0,1/1/2013 0:00,290
Horticulture,Cucumber,Bag,50,1697.0,1/1/2013 0:00,291
Horticulture,Chillies,Bag,38,2403.0,1/1/2013 0:00,292
Horticulture,Spring Onions,Bag,142,1785.0,1/1/2013 0:00,293
Horticulture,Onions Dry,net,13,797.0,1/1/2013 0:00,294
Horticulture,Tomatoes,Lg Box,64,2831.0,1/1/2013 0:00,295
Horticulture,Carrots,Ext Bag,138,2538.0,1/1/2013 0:00,296
Horticulture,Ripe Bananas,Med Bunch,14,609.0,1/1/2013 0:00,297
Horticulture,Cooking Bananas,Med Bunch,22,586.0,1/1/2013 0:00,298
Horticulture,Cooking Bananas,Med Bunch,22,629.0,2/1/2013 0:00,299
Horticulture,Kales,Bag,50,804.0,2/1/2013 0:00,300
Horticulture,Avocado,Bag,90,2394.0,2/1/2013 0:00,301
Horticulture,Pawpaw,Lg Box,54,1472.0,2/1/2013 0:00,302
Horticulture,Pineapples,Dozen,13,750.0,2/1/2013 0:00,303
Horticulture,Limes,net,13,710.0,2/1/2013 0:00,304
Horticulture,Mangoes Ngowe,Sm Basket,25,927.0,2/1/2013 0:00,305
Horticulture,Mangoes Local,Bag,126,1957.0,2/1/2013 0:00,306
Horticulture,Lemons,Bag,95,2051.0,2/1/2013 0:00,307
Horticulture,Oranges,Bag,93,3230.0,2/1/2013 0:00,308
Horticulture,Passion Fruits,Bag,57,2955.0,2/1/2013 0:00,309
Horticulture,Lettuce,Bag,51,3476.0,2/1/2013 0:00,310
Horticulture,Cauliflower,crate,39,2483.0,2/1/2013 0:00,311
Horticulture,Brinjals,Bag,44,1836.0,2/1/2013 0:00,312
Horticulture,Capsicums,Bag,50,2517.0,2/1/2013 0:00,313
Horticulture,Cucumber,Bag,50,2251.0,2/1/2013 0:00,314
Horticulture,Chillies,Bag,38,2989.0,2/1/2013 0:00,315
Horticulture,Spring Onions,Bag,142,2254.0,2/1/2013 0:00,316
Horticulture,Onions Dry,net,13,792.0,2/1/2013 0:00,317
Horticulture,Tomatoes,Lg Box,64,2969.0,2/1/2013 0:00,318
Horticulture,Carrots,Ext Bag,138,2669.0,2/1/2013 0:00,319
Horticulture,Ripe Bananas,Med Bunch,14,708.0,2/1/2013 0:00,320
Horticulture,Cabbages,Ext Bag,126,1798.0,2/1/2013 0:00,321
Horticulture,Cabbages,Ext Bag,126,1667.0,3/1/2013 0:00,322
Horticulture,Cooking Bananas,Med Bunch,22,539.0,3/1/2013 0:00,323
Horticulture,Ripe Bananas,Med Bunch,14,607.0,3/1/2013 0:00,324
Horticulture,Carrots,Ext Bag,138,2969.0,3/1/2013 0:00,325
Horticulture,Tomatoes,Lg Box,64,3669.0,3/1/2013 0:00,326
Horticulture,Onions Dry,net,13,883.0,3/1/2013 0:00,327
Horticulture,Spring Onions,Bag,142,2159.0,3/1/2013 0:00,328
Horticulture,Chillies,Bag,38,2377.0,3/1/2013 0:00,329
Horticulture,Cucumber,Bag,50,2742.0,3/1/2013 0:00,330
Horticulture,Capsicums,Bag,50,2750.0,3/1/2013 0:00,331
Horticulture,Brinjals,Bag,44,1587.0,3/1/2013 0:00,332
Horticulture,Cauliflower,crate,39,2452.0,3/1/2013 0:00,333
Horticulture,Lettuce,Bag,51,3470.0,3/1/2013 0:00,334
Horticulture,Passion Fruits,Bag,57,3988.0,3/1/2013 0:00,335
Horticulture,Oranges,Bag,93,3053.0,3/1/2013 0:00,336
Horticulture,Lemons,Bag,95,2039.0,3/1/2013 0:00,337
Horticulture,Mangoes Local,Bag,126,2105.0,3/1/2013 0:00,338
Horticulture,Mangoes Ngowe,Sm Basket,25,1149.0,3/1/2013 0:00,339
Horticulture,Limes,net,13,679.0,3/1/2013 0:00,340
Horticulture,Pineapples,Dozen,13,728.0,3/1/2013 0:00,341
Horticulture,Pawpaw,Lg Box,54,1521.0,3/1/2013 0:00,342
Horticulture,Avocado,Bag,90,2322.0,3/1/2013 0:00,343
Horticulture,Kales,Bag,50,1039.0,3/1/2013 0:00,344
Horticulture,Cabbages,Ext Bag,126,1638.0,4/1/2013 0:00,345
Horticulture,Cooking Bananas,Med Bunch,22,545.0,4/1/2013 0:00,346
Horticulture,Ripe Bananas,Med Bunch,14,620.0,4/1/2013 0:00,347
Horticulture,Carrots,Ext Bag,138,3223.0,4/1/2013 0:00,348
Horticulture,Tomatoes,Lg Box,64,5182.0,4/1/2013 0:00,349
Horticulture,Onions Dry,net,13,850.0,4/1/2013 0:00,350
Horticulture,Spring Onions,Bag,142,2194.0,4/1/2013 0:00,351
Horticulture,Chillies,Bag,38,3064.0,4/1/2013 0:00,352
Horticulture,Cucumber,Bag,50,2405.0,4/1/2013 0:00,353
Horticulture,Capsicums,Bag,50,2930.0,4/1/2013 0:00,354
Horticulture,Brinjals,Bag,44,1664.0,4/1/2013 0:00,355
Horticulture,Cauliflower,crate,39,3781.0,4/1/2013 0:00,356
Horticulture,Lettuce,Bag,51,3202.0,4/1/2013 0:00,357
Horticulture,Passion Fruits,Bag,57,3725.0,4/1/2013 0:00,358
Horticulture,Oranges,Bag,93,2948.0,4/1/2013 0:00,359
Horticulture,Lemons,Bag,95,1960.0,4/1/2013 0:00,360
Horticulture,Mangoes Local,Bag,126,2444.0,4/1/2013 0:00,361
Horticulture,Mangoes Ngowe,Sm Basket,25,770.0,4/1/2013 0:00,362
Horticulture,Limes,net,13,635.0,4/1/2013 0:00,363
Horticulture,Pineapples,Dozen,13,780.0,4/1/2013 0:00,364
Horticulture,Pawpaw,Lg Box,54,1473.0,4/1/2013 0:00,365
Horticulture,Avocado,Bag,90,2287.0,4/1/2013 0:00,366
Horticulture,Kales,Bag,50,848.0,4/1/2013 0:00,367
Horticulture,Lettuce,Bag,51,4090.0,5/1/2013 0:00,368
Horticulture,Kales,Bag,50,1277.0,5/1/2013 0:00,369
Horticulture,Avocado,Bag,90,2705.0,5/1/2013 0:00,370
Horticulture,Pawpaw,Lg Box,54,1777.0,5/1/2013 0:00,371
