Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date
Horticulture,Avocado,Bag,90,2394.00,2/1/2013 
Horticulture,Pawpaw,Lg Box,54,1472.00,2/1/2013 
Horticulture,Pineapples,Dozen,13,750.00,2/1/2013 
Horticulture,Limes,net,13,710.00,2/1/2013 
Horticulture,Mangoes Ngowe,Sm Basket,25,927.00,2/1/2013 
Horticulture,Mangoes Local,Bag,126,1957.00,2/1/2013 
Horticulture,Lemons,Bag,95,2051.00,2/1/2013 
Horticulture,Oranges,Bag,93,3230.00,2/1/2013 
Horticulture,Passion Fruits,Bag,57,2955.00,2/1/2013 
Horticulture,Lettuce,Bag,51,3476.00,2/1/2013 
Horticulture,Cauliflower,crate,39,2483.00,2/1/2013 
Horticulture,Brinjals,Bag,44,1836.00,2/1/2013 
Horticulture,Capsicums,Bag,50,2517.00,2/1/2013 
Horticulture,Cucumber,Bag,50,2251.00,2/1/2013 
Horticulture,Chillies,Bag,38,2989.00,2/1/2013 
Horticulture,Spring Onions,Bag,142,2254.00,2/1/2013 
Horticulture,Onions Dry,net,13,792.00,2/1/2013 
Horticulture,Tomatoes,Lg Box,64,2969.00,2/1/2013 
Horticulture,Carrots,Ext Bag,138,2669.00,2/1/2013 
Horticulture,Ripe Bananas,Med Bunch,14,708.00,2/1/2013 
Horticulture,Cabbages,Ext Bag,126,1798.00,2/1/2013 
Horticulture,Cabbages,Ext Bag,126,1667.00,3/1/2013 
Horticulture,Cooking Bananas,Med Bunch,22,539.00,3/1/2013 
Horticulture,Ripe Bananas,Med Bunch,14,607.00,3/1/2013 
Horticulture,Carrots,Ext Bag,138,2969.00,3/1/2013 
Horticulture,Tomatoes,Lg Box,64,3669.00,3/1/2013 
Horticulture,Onions Dry,net,13,883.00,3/1/2013 
Horticulture,Spring Onions,Bag,142,2159.00,3/1/2013 
Horticulture,Chillies,Bag,38,2377.00,3/1/2013 
Horticulture,Cucumber,Bag,50,2742.00,3/1/2013 
Horticulture,Capsicums,Bag,50,2750.00,3/1/2013 
Horticulture,Brinjals,Bag,44,1587.00,3/1/2013 
Horticulture,Cauliflower,crate,39,2452.00,3/1/2013 
Horticulture,Lettuce,Bag,51,3470.00,3/1/2013 
Horticulture,Passion Fruits,Bag,57,3988.00,3/1/2013 
Horticulture,Oranges,Bag,93,3053.00,3/1/2013 
Horticulture,Lemons,Bag,95,2039.00,3/1/2013 
Horticulture,Mangoes Local,Bag,126,2105.00,3/1/2013 
Horticulture,Mangoes Ngowe,Sm Basket,25,1149.00,3/1/2013 
Horticulture,Limes,net,13,679.00,3/1/2013 
Horticulture,Pineapples,Dozen,13,728.00,3/1/2013 
Horticulture,Pawpaw,Lg Box,54,1521.00,3/1/2013 
