Produce_Variety,Commodity_Type,Unit,Volume_in_Kgs,Values_in_Ksh,Date,OBJECTID
Horticulture,Passion Fruits,Bag,57,3548.0,12/1/2012 ,266
Horticulture,Oranges,Bag,93,2877.0,12/1/2012 ,267
Horticulture,Lemons,Bag,95,1911.0,12/1/2012 ,268
Horticulture,Mangoes Local,Bag,126,2124.0,12/1/2012 ,269
Horticulture,Mangoes Ngowe,Sm Basket,25,912.0,12/1/2012 ,270
Horticulture,Limes,net,13,728.0,12/1/2012 ,271
Horticulture,Pineapples,Dozen,13,727.0,12/1/2012 ,272
Horticulture,Pawpaw,Lg Box,54,1611.0,12/1/2012 ,273
Horticulture,Avocado,Bag,90,2255.0,12/1/2012 ,274
Horticulture,Kales,Bag,50,690.0,12/1/2012 ,275
Horticulture,Cabbages,Ext Bag,126,1466.0,1/1/2013 ,276
Horticulture,Kales,Bag,50,685.0,1/1/2013 ,277
Horticulture,Avocado,Bag,90,1981.0,1/1/2013 ,278
Horticulture,Pawpaw,Lg Box,54,1479.0,1/1/2013 ,279
Horticulture,Pineapples,Dozen,13,897.0,1/1/2013 ,280
Horticulture,Limes,net,13,582.0,1/1/2013 ,281
Horticulture,Mangoes Ngowe,Sm Basket,25,827.0,1/1/2013 ,282
Horticulture,Mangoes Local,Bag,126,1833.0,1/1/2013 ,283
Horticulture,Lemons,Bag,95,1875.0,1/1/2013 ,284
Horticulture,Oranges,Bag,93,2938.0,1/1/2013 ,285
Horticulture,Passion Fruits,Bag,57,3180.0,1/1/2013 ,286
Horticulture,Lettuce,Bag,51,4047.0,1/1/2013 ,287
Horticulture,Cauliflower,crate,39,2098.0,1/1/2013 ,288
Horticulture,Brinjals,Bag,44,1547.0,1/1/2013 ,289
Horticulture,Capsicums,Bag,50,2099.0,1/1/2013 ,290
Horticulture,Cucumber,Bag,50,1697.0,1/1/2013 ,291
Horticulture,Chillies,Bag,38,2403.0,1/1/2013 ,292
Horticulture,Spring Onions,Bag,142,1785.0,1/1/2013 ,293
Horticulture,Onions Dry,net,13,797.0,1/1/2013 ,294
Horticulture,Tomatoes,Lg Box,64,2831.0,1/1/2013 ,295
Horticulture,Carrots,Ext Bag,138,2538.0,1/1/2013 ,296
